Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08
TXN_4977031,Cake,4,3.0,12.0,Cash,In-store,2023-05-16
TXN_3160411,Coffee,2,2.0,4.0,Digital Wallet,In-store,2023-06-11
TXN_2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07
TXN_7619095,Sandwich,2,4.0,8.0,Cash,In-store,2023-05-03
TXN_2847255,Salad,3,5.0,15.0,Credit Card,In-store,2023-11-15
TXN_6769710,Juice,2,3.0,6.0,Cash,In-store,2023-02-24
TXN_3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15
TXN_3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30
TXN_5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
TXN_9400181,Sandwich,5,4.0,20.0,Cash,In-store,2023-06-03
TXN_5183041,Cookie,5,1.0,5.0,Credit Card,In-store,2023-04-20
TXN_5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10
TXN_8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
TXN_1080432,Salad,2,5.0,10.0,Credit Card,In-store,2023-04-29
TXN_8078640,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-11-03
TXN_8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
TXN_6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03
TXN_3068204,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-10-03
TXN_2621580,Tea,2,1.5,3.0,Cash,In-store,2023-03-22
TXN_4726376,Cake,2,3.0,6.0,Credit Card,In-store,2023-01-31
TXN_6420335,Coffee,1,2.0,2.0,Cash,Takeaway,2023-07-16
TXN_3829165,Juice,4,3.0,12.0,Cash,In-store,2023-06-15
TXN_3748616,Coffee,2,2.0,4.0,Credit Card,In-store,2023-12-09
TXN_5266394,Cake,3,3.0,9.0,Cash,In-store,2023-10-28
TXN_8976658,Tea,2,1.5,3.0,Credit Card,In-store,2023-08-16
TXN_5220895,Salad,5,5.0,25.0,Cash,In-store,2023-06-10
TXN_3085509,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-04-15
TXN_9999113,Juice,4,3.0,12.0,Cash,Takeaway,2023-05-27
TXN_8779771,Coffee,4,2.0,8.0,Cash,In-store,2023-07-25
TXN_3808639,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
TXN_4358673,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
TXN_4368416,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-02-24
TXN_6258471,Coffee,5,2.0,10.0,Digital Wallet,In-store,2023-09-23
TXN_4685453,Tea,4,1.5,6.0,Cash,In-store,2023-09-14
TXN_9096052,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-12-28
TXN_5916991,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
TXN_3407169,Sandwich,2,4.0,8.0,Cash,In-store,2023-03-11
TXN_2181545,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-07-14
TXN_1150033,Juice,5,3.0,15.0,Cash,In-store,2023-04-18
TXN_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12
TXN_6380550,Coffee,5,2.0,10.0,Cash,In-store,2023-01-05
TXN_4885518,Salad,3,5.0,15.0,Credit Card,In-store,2023-06-10
TXN_5072031,Cake,2,3.0,6.0,Cash,Takeaway,2023-03-23
TXN_1928241,Coffee,3,2.0,6.0,Cash,In-store,2023-04-30
TXN_4283157,Salad,5,5.0,25.0,Digital Wallet,In-store,2023-11-25
TXN_1648671,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-05-21
TXN_4062737,Cake,3,3.0,9.0,Cash,In-store,2023-07-02
TXN_9249507,Cookie,4,1.0,4.0,Credit Card,In-store,2023-11-21
